	article_id	start_position	end_position	entity_text	entity_type	source
201	9	1599	1602	120	med_exam	bert
204	9	2913	2917	13.7	med_exam	bert
221	11	872	876	17.1	med_exam	bert
223	11	919	922	一百多	med_exam	bert
224	11	932	935	121	med_exam	bert
225	11	940	942	29	med_exam	bert
227	11	951	953	17	med_exam	bert
228	11	963	965	17	med_exam	bert
232	11	1218	1221	120	med_exam	bert
235	11	1353	1356	120	med_exam	bert
246	11	3549	3552	201	med_exam	bert
250	11	4485	4489	2013	med_exam	bert
266	11	5191	5196	11/29	med_exam	bert
267	11	5210	5215	11/29	med_exam	bert
268	11	5618	5621	八公斤	med_exam	bert
269	11	5697	5699	75	med_exam	bert
270	11	5704	5706	63	med_exam	bert
271	11	5707	5709	62	med_exam	bert
272	11	5727	5730	十公斤	med_exam	bert
273	11	5774	5776	63	med_exam	bert
274	11	5787	5794	75到63公斤	med_exam	bert
293	13	958	960	一七	med_exam	bert
294	13	965	968	一七五	med_exam	bert
295	13	973	976	七十三	med_exam	bert
296	13	980	983	一七五	med_exam	bert
298	13	1025	1028	七十八	med_exam	bert
299	13	1106	1109	一一五	med_exam	bert
305	14	529	532	349	med_exam	bert
307	14	703	706	500	med_exam	bert
324	15	648	650	47	med_exam	bert
325	15	651	653	42	med_exam	bert
326	15	666	669	0.2	med_exam	bert
328	16	141	145	62公斤	med_exam	bert
329	16	149	151	62	med_exam	bert
330	16	163	168	173公分	med_exam	bert
331	16	172	177	173公分	med_exam	bert
332	16	266	269	263	med_exam	bert
333	16	290	292	20	med_exam	bert
334	16	405	409	200多	med_exam	bert
347	16	1100	1103	294	med_exam	bert
349	17	392	396	0.83	med_exam	bert
350	17	408	410	87	med_exam	bert
351	17	600	603	6.7	med_exam	bert
352	17	608	611	6.7	med_exam	bert
373	18	1011	1014	六十八	med_exam	bert
374	18	1020	1023	六十八	med_exam	bert
441	21	25	29	72公斤	med_exam	bert
442	21	77	81	1107	med_exam	bert
443	21	86	90	1107	med_exam	bert
444	21	99	105	1106.5	med_exam	bert
445	21	110	114	1107	med_exam	bert
446	21	132	136	1107	med_exam	bert
448	21	198	200	89	med_exam	bert
449	21	212	215	4.8	med_exam	bert
450	21	216	219	4.8	med_exam	bert
452	22	164	166	63	med_exam	bert
453	22	172	174	63	med_exam	bert
460	23	1389	1392	170	med_exam	bert
461	23	1393	1396	180	med_exam	bert
462	23	1400	1403	170	med_exam	bert
463	23	1404	1407	180	med_exam	bert
466	23	1639	1642	180	med_exam	bert
467	23	1662	1665	170	med_exam	bert
468	23	1666	1669	180	med_exam	bert
473	24	137	139	59	med_exam	bert
474	24	143	145	59	med_exam	bert
493	26	157	159	55	med_exam	bert
494	26	163	165	55	med_exam	bert
495	26	176	179	162	med_exam	bert
496	26	183	186	162	med_exam	bert
498	26	454	457	497	med_exam	bert
499	26	466	469	497	med_exam	bert
504	26	642	644	30	med_exam	bert
508	26	1123	1126	140	med_exam	bert
512	27	276	281	0．125	med_exam	bert
519	28	89	94	九一二點四	med_exam	bert
520	28	97	100	九一二	med_exam	bert
523	28	276	279	九點一	med_exam	bert
524	28	337	340	九點一	med_exam	bert
526	28	559	562	八十九	med_exam	bert
527	28	604	607	七十一	med_exam	bert
548	29	27	31	0．42	med_exam	bert
549	29	42	44	12	med_exam	bert
550	29	49	52	2．1	med_exam	bert
551	29	56	59	2．1	med_exam	bert
562	30	36	39	935	med_exam	bert
598	32	149	153	9.53	med_exam	bert
599	32	158	162	9.53	med_exam	bert
617	33	161	164	690	med_exam	bert
638	34	311	314	874	med_exam	bert
669	36	39	42	256	med_exam	bert
670	36	99	102	195	med_exam	bert
674	36	957	960	172	med_exam	bert
675	36	965	967	59	med_exam	bert
676	36	968	970	60	med_exam	bert
677	36	974	976	59	med_exam	bert
678	36	977	979	60	med_exam	bert
679	36	1116	1125	183745524	med_exam	bert
680	37	82	85	130	med_exam	bert
710	40	500	509	184666204	med_exam	bert
712	41	579	584	五百九十三	med_exam	bert
713	41	585	590	五百九十三	med_exam	bert
714	41	600	605	五八六點七	med_exam	bert
716	41	618	620	四百	med_exam	bert
717	41	635	637	五百	med_exam	bert
718	41	649	651	五百	med_exam	bert
722	41	806	809	一千六	med_exam	bert
723	41	824	827	一千六	med_exam	bert
724	41	834	837	一千六	med_exam	bert
728	41	1527	1530	一千七	med_exam	bert
748	43	193	196	632	med_exam	bert
763	44	286	290	400多	med_exam	bert
764	44	301	305	400多	med_exam	bert
765	44	353	356	200	med_exam	bert
766	44	358	361	200	med_exam	bert
767	44	369	372	455	med_exam	bert
768	44	384	385	2	med_exam	bert
769	44	387	390	221	med_exam	bert
770	44	391	394	222	med_exam	bert
771	44	494	497	7.5	med_exam	bert
772	44	531	533	98	med_exam	bert
773	44	540	542	98	med_exam	bert
778	45	54	58	2750	med_exam	bert
779	45	96	98	10	med_exam	bert
784	45	859	861	k2	med_exam	bert
785	45	862	864	k2	med_exam	bert
790	45	1214	1216	k2	med_exam	bert
793	45	1451	1454	0.5	med_exam	bert
795	45	1507	1511	67.5	med_exam	bert
797	45	1604	1607	0.5	med_exam	bert
798	45	1613	1616	四公斤	med_exam	bert
800	45	1723	1726	0.5	med_exam	bert
802	45	1745	1748	0.5	med_exam	bert
803	45	1773	1775	63	med_exam	bert
804	45	1789	1791	63	med_exam	bert
806	45	1808	1812	67.5	med_exam	bert
807	45	1823	1827	67.5	med_exam	bert
808	45	1833	1835	68	med_exam	bert
810	45	2075	2077	62	med_exam	bert
811	45	2078	2080	63	med_exam	bert
812	45	2099	2101	61	med_exam	bert
813	45	2105	2107	61	med_exam	bert
816	45	2261	2265	一兩公斤	med_exam	bert
834	45	3210	3213	1/3	med_exam	bert
836	45	3224	3227	1/3	med_exam	bert
846	47	130	134	九十公斤	med_exam	bert
855	48	247	250	100	med_exam	bert
859	48	649	652	140	med_exam	bert
870	48	1233	1236	140	med_exam	bert
873	48	1692	1694	53	med_exam	bert
874	48	1706	1708	53	med_exam	bert
875	48	1709	1711	48	med_exam	bert
910	51	345	347	23	med_exam	bert
911	51	352	354	23	med_exam	bert
934	51	1254	1256	18	med_exam	bert
941	51	1640	1646	1.2000	med_exam	bert
959	53	1395	1398	237	med_exam	bert
962	53	1418	1421	477	med_exam	bert
963	53	1563	1565	幾百	med_exam	bert
965	54	219	222	一點四	med_exam	bert
966	54	537	541	一百零四	med_exam	bert
967	54	575	579	一百零四	med_exam	bert
974	55	537	540	188	med_exam	bert
977	55	583	585	一百	med_exam	bert
988	55	1041	1044	兩百多	med_exam	bert
989	55	1061	1063	兩百	med_exam	bert
990	55	1065	1069	兩百零七	med_exam	bert
991	55	1090	1092	十五	med_exam	bert
1007	57	148	150	三百	med_exam	bert
1008	57	155	157	三百	med_exam	bert
1009	57	197	199	98	med_exam	bert
1028	58	41	42	8	med_exam	bert
1051	59	165	169	38.2	med_exam	bert
1054	59	679	683	38.2	med_exam	bert
1055	59	684	688	37.9	med_exam	bert
1056	59	694	698	38.2	med_exam	bert
1057	59	702	705	379	med_exam	bert
1058	59	706	709	382	med_exam	bert
1061	59	1119	1122	139	med_exam	bert
1068	60	1990	1995	160ml	med_exam	bert
1083	62	131	133	58	med_exam	bert
1084	62	170	173	175	med_exam	bert
1085	62	177	180	175	med_exam	bert
1086	62	187	190	175	med_exam	bert
1087	62	198	201	174	med_exam	bert
1103	62	1222	1225	150	med_exam	bert
1104	62	1252	1255	270	med_exam	bert
1105	62	1259	1262	270	med_exam	bert
1116	63	158	161	138	med_exam	bert
1117	63	173	176	7．9	med_exam	bert
1118	63	205	208	7．9	med_exam	bert
1119	63	236	241	14600	med_exam	bert
1120	63	253	257	4900	med_exam	bert
1122	63	358	362	1．44	med_exam	bert
1126	63	1004	1008	1200	med_exam	bert
1127	63	1012	1016	1200	med_exam	bert
1128	63	1038	1042	2100	med_exam	bert
1133	64	35	39	900多	med_exam	bert
1142	65	290	293	九十二	med_exam	bert
1143	65	294	299	一百三十一	med_exam	bert
1147	65	1250	1252	三百	med_exam	bert
1150	65	1476	1479	七百二	med_exam	bert
1155	65	1750	1753	七百二	med_exam	bert
1160	65	2302	2311	178290737	med_exam	bert
1230	67	2903	2907	37.3	med_exam	bert
1231	67	2913	2917	37.3	med_exam	bert
1232	67	2923	2927	37.3	med_exam	bert
1233	67	2928	2932	37.4	med_exam	bert
1275	68	1150	1152	15	med_exam	bert
1301	70	49	52	414	med_exam	bert
1302	70	53	56	356	med_exam	bert
1304	70	63	65	50	med_exam	bert
1310	70	1130	1132	4倍	med_exam	bert
1342	72	162	167	37度點2	med_exam	bert
1345	72	431	436	4.9公分	med_exam	bert
1346	72	497	503	4.01公分	med_exam	bert
1349	72	618	622	27.3	med_exam	bert
1351	72	627	630	2.6	med_exam	bert
1352	72	634	637	2.6	med_exam	bert
1353	72	641	644	2.6	med_exam	bert
1354	72	674	678	2100	med_exam	bert
1355	72	680	684	2900	med_exam	bert
1372	73	92	95	889	med_exam	bert
1373	73	291	295	2．0版	med_exam	bert
1386	75	561	564	4.5	med_exam	bert
1387	75	568	571	4.5	med_exam	bert
1388	75	680	683	435	med_exam	bert
1389	75	687	690	435	med_exam	bert
1390	75	723	726	4.5	med_exam	bert
1396	75	1410	1413	1.1	med_exam	bert
1397	75	1431	1434	0.幾	med_exam	bert
1398	75	1439	1442	0.幾	med_exam	bert
1399	75	1450	1453	1.1	med_exam	bert
1400	75	1457	1460	1.1	med_exam	bert
1427	77	887	890	4.6	med_exam	bert
1428	77	900	904	4.50	med_exam	bert
1430	77	1140	1143	300	med_exam	bert
1431	77	1145	1148	380	med_exam	bert
1458	79	330	334	39.5	med_exam	bert
1459	79	356	358	22	med_exam	bert
1466	79	1288	1290	35	med_exam	bert
1467	79	1299	1301	35	med_exam	bert
1469	79	1392	1395	29號	med_exam	bert
1472	79	1510	1514	四十幾時	med_exam	bert
1483	79	1798	1801	102	med_exam	bert
1484	79	1809	1812	102	med_exam	bert
1495	80	1303	1305	91	med_exam	bert
1496	80	1312	1314	91	med_exam	bert
1540	82	486	489	八十五	med_exam	bert
1542	82	644	647	七點二	med_exam	bert
1543	82	648	651	八點四	med_exam	bert
1546	83	330	334	38.1	med_exam	bert
1556	83	1746	1749	七十幾	med_exam	bert
1557	83	1756	1759	七十五	med_exam	bert
1573	83	2126	2130	7/12	med_exam	bert
1584	83	2381	2385	7/15	med_exam	bert
1601	83	2761	2763	19	med_exam	bert
1602	83	2764	2766	20	med_exam	bert
1603	83	2896	2898	14	med_exam	bert
1604	83	2927	2929	15	med_exam	bert
1646	84	1729	1732	723	med_exam	bert
1660	85	38	40	12	med_exam	bert
1661	85	169	171	22	med_exam	bert
1662	85	175	178	1.8	med_exam	bert
1665	85	642	645	三千八	med_exam	bert
1680	85	1151	1154	170	med_exam	bert
1681	85	1155	1158	180	med_exam	bert
1682	85	1204	1207	170	med_exam	bert
1683	85	1208	1211	180	med_exam	bert
1684	85	1236	1239	170	med_exam	bert
1685	85	1262	1265	160	med_exam	bert
1686	85	1278	1281	170	med_exam	bert
1687	85	1334	1337	190	med_exam	bert
1688	85	1354	1357	190	med_exam	bert
1689	85	1366	1369	170	med_exam	bert
1720	88	69	73	0．80	med_exam	bert
1721	88	261	264	141	med_exam	bert
1722	88	296	298	54	med_exam	bert
1723	88	320	322	40	med_exam	bert
1725	88	649	652	150	med_exam	bert
1726	88	696	698	80	med_exam	bert
1727	88	717	720	126	med_exam	bert
1728	88	732	734	80	med_exam	bert
1729	88	746	750	5601	med_exam	bert
1730	88	767	771	16．4	med_exam	bert
1739	88	1937	1939	7齁	med_exam	bert
1758	90	311	313	40	med_exam	bert
1759	90	421	425	37.2	med_exam	bert
1765	90	1187	1191	10.9	med_exam	bert
1775	91	365	368	110	med_exam	bert
1776	91	379	382	110	med_exam	bert
1777	91	520	523	0.5	med_exam	bert
1802	92	773	778	六百八十二	med_exam	bert
1803	92	783	788	六百八十二	med_exam	bert
1805	92	836	838	七十	med_exam	bert
1806	92	931	933	七十	med_exam	bert
1823	92	1424	1433	148390275	med_exam	bert
1836	93	803	813	1287394675	med_exam	bert
1839	94	505	508	一百九	med_exam	bert
1850	94	1423	1426	五十幾	med_exam	bert
1851	94	1428	1431	七十幾	med_exam	bert
1852	94	1435	1438	七十幾	med_exam	bert
1853	94	1529	1531	八十	med_exam	bert
1854	94	1541	1543	八十	med_exam	bert
1855	94	1548	1550	八十	med_exam	bert
1857	94	1559	1561	八十	med_exam	bert
1858	94	1562	1564	八十	med_exam	bert
1866	95	154	156	一百	med_exam	bert
1873	96	505	508	五十幾	med_exam	bert
1874	96	522	525	五十九	med_exam	bert
1876	96	810	813	一五二	med_exam	bert
1878	96	1279	1282	三公斤	med_exam	bert
1879	96	1288	1291	三公斤	med_exam	bert
1880	96	1292	1295	四公斤	med_exam	bert
1881	96	1321	1324	105	med_exam	bert
1934	99	892	895	5公分	med_exam	bert
1935	99	900	903	5公分	med_exam	bert
1950	100	55	59	0.72	med_exam	bert
1955	100	161	163	一千	med_exam	bert
1962	100	1516	1519	9點幾	med_exam	bert
1974	100	2124	2129	1.5公斤	med_exam	bert
1975	100	2167	2170	4公斤	med_exam	bert
1976	100	2174	2177	4公斤	med_exam	bert
1985	102	151	153	85	med_exam	bert
1986	102	164	167	100	med_exam	bert
1987	102	187	189	85	med_exam	bert
1989	102	247	249	80	med_exam	bert
1990	102	282	284	27	med_exam	bert
1991	102	307	309	30	med_exam	bert
1992	102	322	324	80	med_exam	bert
2020	106	347	352	100公斤	med_exam	bert
2021	106	369	372	102	med_exam	bert
2028	107	39	43	2500	med_exam	bert
2029	107	44	48	2900	med_exam	bert
2030	107	59	63	2800	med_exam	bert
2031	107	85	88	1.0	med_exam	bert
2032	107	93	96	1.0	med_exam	bert
2033	107	99	103	1.87	med_exam	bert
2034	107	122	126	2500	med_exam	bert
2057	107	779	782	1點半	med_exam	bert
2066	107	1153	1156	10點	med_exam	bert
2067	107	1158	1162	10點多	med_exam	bert
2133	110	3	8	七十八點五	med_exam	bert
2134	110	12	17	七十八點五	med_exam	bert
2135	110	21	26	七十八點二	med_exam	bert
2136	110	31	36	七十八點二	med_exam	bert
2137	110	81	83	95	med_exam	bert
2139	110	235	240	五百二十二	med_exam	bert
2141	110	248	253	五百二十二	med_exam	bert
2154	110	863	867	二比二三	med_exam	bert
2184	111	2259	2260	一	med_exam	bert
2197	112	646	649	255	med_exam	bert
2278	117	465	467	20	med_exam	bert
2347	121	997	1006	289370198	med_exam	bert
2360	122	900	903	717	med_exam	bert
2373	122	1423	1426	414	med_exam	bert
2418	126	681	684	160	med_exam	bert
2419	126	685	687	58	med_exam	bert
2437	128	448	450	10	med_exam	bert
2443	128	928	932	7846	med_exam	bert
2444	128	941	946	五百二十六	med_exam	bert
2451	129	284	286	10	med_exam	bert
2457	129	1998	2001	211	med_exam	bert
2458	129	2002	2005	211	med_exam	bert
2490	131	419	422	107	med_exam	bert
2520	132	1270	1273	106	med_exam	bert
2521	132	1275	1278	106	med_exam	bert
2533	133	820	823	525	med_exam	bert
2558	135	1007	1009	七千	med_exam	bert
2594	137	2042	2044	一百	med_exam	bert
2596	137	2061	2064	100	med_exam	bert
2599	138	64	66	32	med_exam	bert
2600	138	91	94	五十幾	med_exam	bert
2637	140	714	716	30	med_exam	bert
2647	140	1289	1292	一百五	med_exam	bert
2653	140	1917	1921	2735	med_exam	bert
2733	145	377	379	29	med_exam	bert
2734	145	380	382	29	med_exam	bert
2864	150	4681	4685	1500	med_exam	bert
2955	153	53	56	3到4	med_exam	bert
2971	153	1443	1446	521	med_exam	bert
2977	153	1720	1723	521	med_exam	bert
2978	153	1730	1733	1/3	med_exam	bert
2987	154	1008	1012	2～24	med_exam	bert
3016	155	1634	1638	1800	med_exam	bert
3017	155	1647	1651	1800	med_exam	bert
3021	156	300	303	二一一	med_exam	bert
3036	156	3273	3277	5632	med_exam	bert
3094	158	448	451	二十幾	med_exam	bert
3099	158	1381	1390	124699678	med_exam	bert
